index, part_id, quantity, designator_list
1, SAMD20E18A-A, 1, U1
2, DS3231, 1, U2
3, AP2281, 1, U3
4, MIC5211, 1, U4
5, MAX4618, 1, U6
6, MAX31856, 1, U5
7, PJ-102A, 1, J1
8, M50-3600542, 1, J2
9, OSTVN06A150, 4, J3;J4;J5;J6
10, DM3AT-SF-PEJM5, 1, J7
11, OSTVN10A150, 1, J8
12, GRM21BR71C105KA01L, 2, C3;C6
13, C0805C104K5RACTU, 13, C2;C9;C4;C7;C5;C14;C15;C13;C12;C8;C11;C16;C17
14, GRM219R61A106KE44D, 2, C1;C10
15, C0805C103K5RACTU, 2, C18;C19
16, Z0805C221APMST, 1, FB1
17, AO3420, 2, Q1;Q2
18, RC0805JR-0710KL, 1, R1;R3;R4;R5;R6;R7;R8;R9
19, RC0805JR-071KL, 1, R2
20, RC0805JR-0768RL, 1, R10
21, LY R976-PS-36, 1, D1
22, S8201R, 1, BT1
23, CR1220, 1 N/A
